date,region,state,cases,deaths
2020-03-27,Norte,AC,0.0,0.0
2020-03-27,Nordeste,AL,0.0,0.0
2020-03-27,Norte,AM,0.0,0.0
2020-03-27,Norte,AP,0.0,0.0
2020-03-27,Nordeste,BA,0.0,0.0
2020-03-27,Nordeste,CE,0.0,0.0
2020-03-27,Centro-Oeste,DF,0.0,0.0
2020-03-27,Sudeste,ES,0.0,0.0
2020-03-27,Centro-Oeste,GO,0.0,0.0
2020-03-27,Nordeste,MA,0.0,0.0
2020-03-27,Sudeste,MG,0.0,0.0
2020-03-27,Centro-Oeste,MS,0.0,0.0
2020-03-27,Centro-Oeste,MT,0.0,0.0
2020-03-27,Norte,PA,0.0,0.0
2020-03-27,Nordeste,PB,0.0,0.0
2020-03-27,Nordeste,PE,0.0,0.0
2020-03-27,Nordeste,PI,0.0,0.0
2020-03-27,Sul,PR,0.0,0.0
2020-03-27,Sudeste,RJ,0.0,0.0
2020-03-27,Nordeste,RN,0.0,0.0
2020-03-27,Norte,RO,0.0,0.0
2020-03-27,Norte,RR,0.0,0.0
2020-03-27,Sul,RS,0.0,0.0
2020-03-27,Sul,SC,0.0,0.0
2020-03-27,Nordeste,SE,0.0,0.0
2020-03-27,Sudeste,SP,0.0,0.0
2020-03-27,Norte,TO,0.0,0.0
2020-03-28,Norte,AC,25.0,0.0
2020-03-28,Nordeste,AL,14.0,0.0
2020-03-28,Norte,AM,111.0,1.0
2020-03-28,Norte,AP,4.0,0.0
2020-03-28,Nordeste,BA,127.0,0.0
2020-03-28,Nordeste,CE,322.0,4.0
2020-03-28,Centro-Oeste,DF,260.0,0.0
2020-03-28,Sudeste,ES,53.0,0.0
2020-03-28,Centro-Oeste,GO,56.0,1.0
2020-03-28,Nordeste,MA,14.0,0.0
2020-03-28,Sudeste,MG,202.0,0.0
2020-03-28,Centro-Oeste,MS,31.0,0.0
2020-03-28,Centro-Oeste,MT,13.0,0.0
2020-03-28,Norte,PA,17.0,0.0
2020-03-28,Nordeste,PB,14.0,0.0
2020-03-28,Nordeste,PE,63.0,4.0
2020-03-28,Nordeste,PI,11.0,1.0
2020-03-28,Sul,PR,133.0,2.0
2020-03-28,Sudeste,RJ,558.0,13.0
2020-03-28,Nordeste,RN,45.0,0.0
2020-03-28,Norte,RO,6.0,0.0
2020-03-28,Norte,RR,12.0,0.0
2020-03-28,Sul,RS,193.0,2.0
2020-03-28,Sul,SC,176.0,1.0
2020-03-28,Nordeste,SE,16.0,0.0
2020-03-28,Sudeste,SP,1358.0,83.0
2020-03-28,Norte,TO,9.0,0.0
2020-03-29,Norte,AC,34.0,0.0
2020-03-29,Nordeste,AL,17.0,0.0
2020-03-29,Norte,AM,140.0,1.0
2020-03-29,Norte,AP,4.0,0.0
2020-03-29,Nordeste,BA,155.0,1.0
2020-03-29,Nordeste,CE,359.0,5.0
2020-03-29,Centro-Oeste,DF,289.0,1.0
2020-03-29,Sudeste,ES,60.0,0.0
2020-03-29,Centro-Oeste,GO,58.0,1.0
2020-03-29,Nordeste,MA,16.0,0.0
2020-03-29,Sudeste,MG,228.0,0.0
2020-03-29,Centro-Oeste,MS,36.0,0.0
2020-03-29,Centro-Oeste,MT,16.0,0.0
2020-03-29,Norte,PA,18.0,0.0
2020-03-29,Nordeste,PB,14.0,0.0
2020-03-29,Nordeste,PE,68.0,4.0
2020-03-29,Nordeste,PI,14.0,1.0
